source_id,source_name,source_website
S105,Ministry of Health,https://asibilgisistemi.com/
S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
S107,World Health Organization,https://www.euronews.com/2021/06/18/us-health-coronavirus-oman
S108,National Command and Operation Centre,https://ncoc.gov.pk/covid-vaccination-en.php
S109,Ministry of Health,https://www.facebook.com/mohps/posts/3906688689456980
S110,Ministry of Health,https://twitter.com/MINSAPma/status/1406448055692541952
S111,Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
S112,Ministry of Health,https://www.datosabiertos.gob.pe/dataset/vacunaci%C3%B3n-contra-covid-19-ministerio-de-salud-minsa
S113,Government of the Philippines,https://www.facebook.com/102042448125024/posts/336064938056106/
S114,Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
S115,Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
S116,Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
S117,Government of Romania via datelazi.ro,https://datelazi.ro/
S118,Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
S119,World Health Organization,https://twitter.com/RwandaHealth/status/1401629373824917514
S120,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
S121,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/photos/a.158729094910938/934309337352906/
S122,Ministry of Health,https://www.covid19response.lc/
S123,Ministry of Health,https://www.facebook.com/SVGHEALTH/photos/a.460089407384821/4581707335222987
S124,Social Security Institute,https://vaccinocovid.iss.sm/
S125,Saudi Health Council,https://covid19.moh.gov.sa/
S126,Government of Serbia,https://vakcinacija.gov.rs/
S127,Extended Programme for Immunisation,https://www.youtube.com/watch?v=8kSdOu5QEiw&ab_channel=SBC
S128,Ministry of Health,https://www.moh.gov.sg/covid-19
S129,Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data
S130,National Institute of Public Health via covid-19.sledilnik.org,https://covid-19.sledilnik.org/en/stats
S131,Ministry of Health,https://sacoronavirus.co.za/latest-vaccine-statistics/
S132,Korea Centers for Disease Control and Prevention,http://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=713723&cg_code=&act=view&nPage=1
S133,Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210618.ods
S134,Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-20-06_10_21_1.pdf
S135,Government of Suriname,https://laatjevaccineren.sr/
S136,Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
S137,Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
S138,Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
S139,Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-06-20.pdf
S140,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
S141,Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/4242069875832084
S142,COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
S143,Ministry of Health,https://twitter.com/MinofHealthUG/status/1405877584370483203
S144,Ministry of Health,https://vaccination.covid19.gov.ua/
S145,National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
S146,Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/COVIDData/getAjaxData?id=vaccination_data
S147,Ministry of Health via vacuna.uy,https://monitor.uruguaysevacuna.gub.uy/
S148,Government of Uzbekistan,https://akipress.com/news:659485:Uzbekistan_vaccinates_over_1_623_million_against_COVID-19/
S149,Government of Venezuela,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
S150,Government of Vietnam,https://suckhoedoisong.vn/sang-21-6-them-47-ca-mac-covid-19-viet-nam-ghi-nhan-tong-cong-13258-benh-nhan-n195481.html
S151,Government of Zambia,https://www.facebook.com/mohzambia/posts/1933861003455214
S152,Ministry of Health,https://twitter.com/MoHCCZim/status/1406690528482279424
