,iso_code,country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccine_id,vaccine_names,source_id,source_name,source_website
2263,BLR,Belarus,1/2/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2264,BLR,Belarus,1/20/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2265,BLR,Belarus,1/21/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2266,BLR,Belarus,1/22/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2267,BLR,Belarus,1/23/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2268,BLR,Belarus,1/24/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2269,BLR,Belarus,1/25/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2270,BLR,Belarus,1/26/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2271,BLR,Belarus,1/27/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2272,BLR,Belarus,1/28/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2273,BLR,Belarus,1/29/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2274,BLR,Belarus,1/3/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2275,BLR,Belarus,1/30/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2276,BLR,Belarus,1/31/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2277,BLR,Belarus,1/4/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2278,BLR,Belarus,1/5/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2279,BLR,Belarus,1/6/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2280,BLR,Belarus,1/7/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2281,BLR,Belarus,1/8/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
