iso_code,country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccine_id,vaccine_names,source_id,source_name,source_website,dropout_date,vaccine_count,coverage_group,daily_vaccination_7d_avg,vaccination_momentum
CHN,China,2020-12-21,0,0,0,0,187500,0.0,0.0,0.0,130,"V003, V012, V014, V015","CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",S031,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/ddd7b535796040ed8b86f9e34fd218bb.shtml,0.0,4,Low,160714.2857142857,0.0
ISR,Israel,2020-12-21,32303,32303,0,24884,16122,0.37,0.37,0.0,1863,"V007, V009","Moderna, Pfizer/BioNTech",S072,Government of Israel,https://datadashboard.health.gov.il/COVID-19/general,100.0,2,Low,67775.85714285714,49.90867721264279
USA,United States,2020-12-21,614117,614117,0,57909,57909,0.18,0.18,0.0,173,"V006, V007, V009","Johnson&Johnson, Moderna, Pfizer/BioNTech",S146,Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/COVIDData/getAjaxData?id=vaccination_data,100.0,3,Low,287945.28571428574,9.429636372222232
CAN,Canada,2020-12-21,20866,20866,0,8128,2980,0.06,0.06,0.0,79,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S028,Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html,100.0,3,Low,2128.285714285714,14.281606441100356
RUS,Russia,2020-12-21,0,0,0,0,3357,0.0,0.02,0.0,23,"V005, V017","EpiVacCorona, Sputnik V",S118,Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats,0.0,2,Low,2877.428571428572,0.0
DNK,Denmark,2020-12-21,3,3,0,0,0,0.0,0.0,0.0,0,"V006, V007, V009","Johnson&Johnson, Moderna, Pfizer/BioNTech",S041,Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata,100.0,3,Low,2888.0,0.0
NOR,Norway,2020-12-21,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,0.0,2,Low,0.0,0.0
NOR,Norway,2020-12-22,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,0.0,2,Low,0.0,0.0
RUS,Russia,2020-12-22,52000,52000,0,0,3357,0.04,0.04,0.0,23,"V005, V017","EpiVacCorona, Sputnik V",S118,Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats,100.0,2,Low,3357.0,6.455769230769231
CAN,Canada,2020-12-22,26603,26603,0,5737,3697,0.07,0.07,0.0,98,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S028,Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html,100.0,3,Low,2553.8571428571427,13.896928917791229
