country,date,people_vaccinated_per_hundred,predicted,error,abs error
Slovakia,2021-05-25,29.66,26.30161256291858,3.3583874370814186,3.3583874370814186
Syria,2021-05-25,0.01,9.535217000470407,-9.525217000470407,9.525217000470407
Australia,2021-05-25,12.83,11.576527625776414,1.2534723742235858,1.2534723742235858
Niger,2021-05-25,0.48,6.656621006275298,-6.1766210062752975,6.1766210062752975
Croatia,2021-05-25,29.16,24.434892412427676,4.7251075875723245,4.7251075875723245
Mongolia,2021-05-25,56.16,29.784963103283392,26.375036896716605,26.375036896716605
Malawi,2021-05-25,1.81,8.943321269540501,-7.133321269540501,7.133321269540501
Cuba,2021-05-25,7.05,6.459500223514553,0.5904997764854469,0.5904997764854469
United Kingdom,2021-05-25,56.53,48.8242151631527,7.7057848368473,7.7057848368473
Taiwan,2021-05-25,1.34,7.645714546193002,-6.305714546193002,6.305714546193002
Albania,2021-05-25,16.51,16.675334687776168,-0.16533468777616633,0.16533468777616633
Brazil,2021-05-25,20.09,21.378989215353638,-1.288989215353638,1.288989215353638
Saint Vincent and the Grenadines,2021-05-25,16.6,19.495233034246514,-2.8952330342465125,2.8952330342465125
Andorra,2021-05-25,35.74,26.913544584141324,8.826455415858678,8.826455415858678
China,2021-05-25,0.0,17.854571862432824,-17.854571862432824,17.854571862432824
Jordan,2021-05-25,10.14,17.787225812809314,-7.647225812809314,7.647225812809314
Malaysia,2021-05-25,5.35,12.134297647472788,-6.784297647472789,6.784297647472789
Guinea,2021-05-25,1.57,7.290095407163658,-5.720095407163658,5.720095407163658
Trinidad and Tobago,2021-05-25,5.15,12.417752115572355,-7.267752115572355,7.267752115572355
Iceland,2021-05-25,48.14,30.21247861932424,17.92752138067576,17.92752138067576
Greece,2021-05-25,32.21,26.318410732714543,5.8915892672854575,5.8915892672854575
Netherlands,2021-05-25,36.67,26.797954982701665,9.872045017298337,9.872045017298337
Finland,2021-05-25,42.33,29.95128140694852,12.378718593051477,12.378718593051477
Anguilla,2021-05-25,58.73,44.542117031369685,14.187882968630312,14.187882968630312
Belize,2021-05-25,15.41,16.874454531265,-1.4644545312649981,1.4644545312649981
Senegal,2021-05-25,2.64,11.931886180206408,-9.291886180206408,9.291886180206408
Grenada,2021-05-25,14.52,19.08925445966796,-4.56925445966796,4.56925445966796
Kosovo,2021-05-25,2.86,7.513638550134903,-4.653638550134904,4.653638550134904
Indonesia,2021-05-25,5.68,17.013437934021443,-11.333437934021443,11.333437934021443
Argentina,2021-05-25,19.49,22.51988596921122,-3.0298859692112217,3.0298859692112217
Canada,2021-05-25,52.84,30.33143830566934,22.508561694330663,22.508561694330663
Tunisia,2021-05-25,4.74,10.033050230486314,-5.293050230486314,5.293050230486314
Nepal,2021-05-25,7.25,17.29943106226953,-10.04943106226953,10.04943106226953
Lithuania,2021-05-25,35.24,28.336138367666376,6.903861632333626,6.903861632333626
Romania,2021-05-25,21.75,24.91748971901764,-3.1674897190176416,3.1674897190176416
Dominican Republic,2021-05-25,27.69,19.683568442102956,8.006431557897045,8.006431557897045
Uruguay,2021-05-25,47.57,32.58660600904999,14.983393990950013,14.983393990950013
Belarus,2021-05-25,4.64,17.240111412986604,-12.600111412986603,12.600111412986603
Dominica,2021-05-25,26.89,30.844156420452304,-3.9541564204523034,3.9541564204523034
Kuwait,2021-05-25,19.25,24.472356310945894,-5.222356310945894,5.222356310945894
Scotland,2021-05-25,57.76,46.78777326739805,10.972226732601946,10.972226732601946
Russia,2021-05-25,10.81,21.382821862432838,-10.572821862432837,10.572821862432837
